name,ra,dec,dist_kpc,theta_deg,x_kpc,y_kpc,z_kpc
NGC 185,9.7417,48.3375,616,23.67,-176.2,-40.1,-57.6
NGC 147,8.3004,48.5089,675,37.05,-137.3,-44.8,-12.2
M33,23.4621,30.66,809,89.23,58.6,167.7,-105.2
IC 10,5.0721,59.2925,794,82.84,-175.9,-73.5,164.9
And I,11.4158,38.0411,745,45.93,-4.7,6.7,-58.7
And II,19.1167,33.4306,652,39.1,-65.7,68.8,-158.6
And III,8.8908,36.4978,749,59.12,15.1,-16.3,-72.3
And V,17.5713,47.6281,773,79.72,-83.1,47.9,53.3
And VI,357.9429,24.5825,783,79.7,131.8,-135.0,-192.1
And VII,351.6292,50.6919,218,6.02,-443.2,-129.5,-349.1
And IX,13.2208,43.1958,765,59.87,-36.9,18.2,5.9
And X,16.6404,44.8044,688,33.82,-112.1,30.4,-33.0
And XI,11.5833,33.8014,760,72.38,38.9,17.4,-95.0
And XIII,12.9625,33.0044,760,73.43,41.3,33.6,-103.8
And XIV,12.8963,29.6889,793,86.97,91.7,44.4,-125.0
And XV,21.6292,38.1167,773,79.91,-14.5,114.8,-40.6
And XVI,14.8742,32.3767,323,6.52,-316.1,-39.4,-344.8
And XVII,9.2771,44.3217,727,34.64,-66.5,-25.5,-9.8
And XX,1.8779,35.1322,741,65.74,25.9,-89.5,-91.4
And XXIII,22.3408,38.7189,773,79.94,-22.0,119.9,-34.3
And XXIV,19.6250,46.3661,600,24.15,-189.8,29.7,-83.5
And XXVI,5.9400,47.9161,774,80.09,-63.8,-55.7,56.7
And XXVIII,338.1725,31.2164,660,56.85,-55.8,-319.3,-175.7
And XXIX,359.7317,30.7556,731,66.65,48.4,-112.3,-144.0
And XXX,9.1454,49.6467,678,41.05,-146.4,-39.6,-1.1
And XXXI,344.5679,41.2911,760,74.86,-29.3,-261.3,-16.3
And XXXII,8.9975,51.5597,780,82.8,-100.8,-33.6,93.2
And XXXIII,45.3483,40.9883,800,79.39,-155.4,320.2,6.9
LGS 3,15.9792,21.8850,769,76.69,106.2,87.0,-231.1
And XXXIV,349.6167,33.3589,681,57.19,-20.3,-211.9,-143.3
